rowid,building,floor,height,rooms,square,price
5-1,5,3,23,2комн.,62.48,9199300
5-10,5,4,23,2комн.,62.48,9203300
5-103,5,15,23,2комн.,65.07,9777300
5-11,5,4,23,2комн.,69.44,10541100
5-111,5,16,23,2комн.,65.07,9781500
5-119,5,17,23,2комн.,65.07,9844300
5-120,5,17,23,1комн.,45.12,7395500
5-127,5,18,23,2комн.,65.07,9848500
5-128,5,18,23,1комн.,45.12,7398400
5-13,5,4,23,1комн.,40.46,6470400
5-135,5,19,23,2комн.,65.07,9852700
5-136,5,19,23,1комн.,45.12,7401300
5-143,5,20,23,2комн.,65.07,9861000
5-144,5,20,23,1комн.,45.12,7407100
5-15,5,4,23,1комн.,41.65,6660700
5-151,5,21,23,2комн.,65.07,9865200
5-152,5,21,23,1комн.,45.12,7410000
5-159,5,22,23,2комн.,65.07,9869400
5-160,5,22,23,1комн.,45.12,7412900
5-167,5,23,23,2комн.,65.07,10790200
5-168,5,23,23,1комн.,45.12,7723500
5-17,5,4,23,2комн.,65.97,9717400
5-19,5,5,23,2комн.,62.48,9207300
5-2,5,3,23,2комн.,69.44,10536700
5-20,5,5,23,2комн.,69.44,10545600
5-26,5,5,23,2комн.,65.97,9721600
5-28,5,6,23,2комн.,62.48,9211300
5-29,5,6,23,2комн.,69.44,10550100
5-35,5,6,23,2комн.,65.97,9725800
5-38,5,7,23,2комн.,69.44,10554500
5-4,5,3,23,1комн.,40.46,6467800
5-44,5,7,23,2комн.,65.97,9730100
5-46,5,8,23,2комн.,62.48,9219400
5-6,5,3,23,1комн.,41.65,6658000
5-7,5,3,23,2комн.,60.22,8827800
5-71,5,11,23,2комн.,65.07,9760600
5-79,5,12,23,2комн.,65.07,9764800
5-8,5,3,23,2комн.,65.97,9713100
5-80,5,12,23,1комн.,45.12,7340400
5-87,5,13,23,2комн.,65.07,9768900
5-88,5,13,23,1комн.,45.12,7343300
5-9,5,3,23,1комн.,37.43,6007500
5-95,5,14,23,2комн.,65.07,9773100
5-96,5,14,23,1комн.,45.12,7346200
