building,floor,height,rooms,rowid,square,price
1-10,1,4,32,2комн.,62.36,8728300
1-11,1,4,32,2комн.,62.65,8768900
1-116,1,23,32,1комн.,40.03,6777500
1-117,1,23,32,1комн.,39.69,6719900
1-118,1,23,32,2комн.,62.36,10224500
1-119,1,23,32,1комн.,40.04,6779200
1-12,1,4,32,3комн.,86.83,11743400
1-122,1,24,32,1комн.,40.03,6859400
1-123,1,24,32,1комн.,39.69,6801100
1-124,1,24,32,2комн.,62.36,10352100
1-125,1,24,32,1комн.,40.04,6861100
1-128,1,25,32,1комн.,40.03,6967000
1-129,1,25,32,1комн.,39.69,6907800
1-131,1,25,32,1комн.,40.04,6968800
1-132,1,25,32,4комн.,106.54,17058400
1-133,1,26,32,4комн.,101.67,16558600
1-134,1,26,32,1комн.,40.03,7077200
1-135,1,26,32,1комн.,39.69,7017100
1-136,1,26,32,2комн.,62.36,10691400
1-137,1,26,32,1комн.,40.04,7079000
1-138,1,26,32,4комн.,106.54,17351700
1-139,1,27,32,4комн.,101.67,16786100
1-140,1,27,32,1комн.,40.03,7166800
1-141,1,27,32,1комн.,39.69,7106000
1-14,1,5,32,2комн.,65.53,9176200
1-142,1,27,32,2комн.,62.36,10831000
1-143,1,27,32,1комн.,40.04,7168600
1-144,1,27,32,4комн.,106.54,17590200
1-145,1,28,32,4комн.,101.67,16987600
1-146,1,28,32,1комн.,40.03,7246100
1-147,1,28,32,1комн.,39.69,7184600
1-148,1,28,32,2комн.,62.36,10954500
1-149,1,28,32,1комн.,40.04,7247900
1-150,1,28,32,4комн.,106.54,17801300
1-151,1,29,32,4комн.,101.67,17189000
1-152,1,29,32,1комн.,40.03,7325400
1-153,1,29,32,1комн.,39.69,7263200
1-154,1,29,32,2комн.,62.36,11078100
1-155,1,29,32,1комн.,40.04,7327300
1-156,1,29,32,4комн.,106.54,18012300
1-157,1,30,32,4комн.,101.67,17390400
1-158,1,30,32,1комн.,40.03,7404700
1-159,1,30,32,1комн.,39.69,7341900
1-160,1,30,32,2комн.,62.36,11201600
1-161,1,30,32,1комн.,40.04,7406600
1-16,1,5,32,2комн.,62.36,8732300
1-162,1,30,32,4комн.,106.54,18223400
1-163,1,31,32,4комн.,101.67,17591800
1-164,1,31,32,1комн.,40.03,7484100
1-165,1,31,32,1комн.,39.69,7420500
1-166,1,31,32,2комн.,62.36,11325200
1-167,1,31,32,1комн.,40.04,7485900
1-168,1,31,32,4комн.,106.54,18434500
1-169,1,32,32,4комн.,101.67,17850800
1-170,1,32,32,1комн.,40.03,7586000
1-171,1,32,32,1комн.,39.69,7521600
1-17,1,5,32,2комн.,62.65,8773000
1-172,1,32,32,2комн.,62.36,11484000
1-173,1,32,32,1комн.,40.04,7587900
1-174,1,32,32,4комн.,106.54,18705900
1-18,1,5,32,3комн.,86.83,11749000
1-20,1,6,32,2комн.,65.53,9180400
1-2,1,3,32,2комн.,65.53,9167800
1-22,1,6,32,2комн.,62.36,8736300
1-23,1,6,32,2комн.,62.65,8777000
1-24,1,6,32,3комн.,86.83,11754500
1-26,1,7,32,2комн.,65.53,9184700
1-28,1,7,32,2комн.,62.36,8740400
1-29,1,7,32,2комн.,62.65,8781000
1-3,1,3,32,1комн.,39.69,6053600
1-32,1,8,32,2комн.,65.53,9188900
1-34,1,8,32,2комн.,62.36,8744400
1-38,1,9,32,2комн.,65.53,9193100
1-4,1,3,32,2комн.,62.36,8724300
1-44,1,10,32,2комн.,65.53,9285800
1-50,1,11,32,2комн.,65.53,9290000
1-5,1,3,32,2комн.,62.65,8764900
1-53,1,11,32,2комн.,62.65,8881800
1-56,1,12,32,2комн.,65.53,9294300
1-58,1,12,32,2комн.,62.36,8844700
1-59,1,12,32,2комн.,62.65,8885800
1-6,1,3,32,3комн.,86.83,11737800
1-62,1,13,32,2комн.,65.53,9298500
1-65,1,13,32,2комн.,62.65,8889800
1-66,1,13,32,3комн.,86.83,11966800
1-68,1,14,32,2комн.,65.53,9302700
1-70,1,14,32,2комн.,62.36,8852700
1-71,1,14,32,2комн.,62.65,8893800
1-74,1,15,32,2комн.,65.53,9306900
1-76,1,15,32,2комн.,62.36,8856700
1-80,1,16,32,2комн.,65.53,9311100
1-8,1,4,32,2комн.,65.53,9172000
1-82,1,16,32,2комн.,62.36,8860700
1-83,1,16,32,2комн.,62.65,8901900
1-86,1,17,32,2комн.,65.53,9370100
1-88,1,17,32,2комн.,62.36,8916800
1-9,1,4,32,1комн.,39.69,6056200
1-94,1,19,32,2комн.,62.36,8924900
2-11,2,4,32,2комн.,68.64,9695600
2-113,2,15,32,2комн.,63.24,8900300
2-122,2,16,32,2комн.,63.24,9026400
2-1,2,3,32,2комн.,58.34,8161900
2-125,2,16,32,1комн.,38.8,6002700
2-126,2,16,32,1комн.,38.79,6001200
2-127,2,18,32,2комн.,58.34,8308300
2-128,2,18,32,2комн.,68.64,9907600
2-131,2,18,32,2комн.,63.24,9046800
2-132,2,18,32,2комн.,64.5,9227000
2-134,2,18,32,1комн.,38.8,6015200
2-135,2,18,32,1комн.,38.79,6013700
2-136,2,19,32,2комн.,58.34,8312000
2-137,2,19,32,2комн.,68.64,9912000
2-140,2,19,32,2комн.,63.24,9050800
2-141,2,19,32,2комн.,64.5,9231200
2-144,2,19,32,1комн.,38.79,6016200
2-152,2,20,32,1комн.,38.8,6020200
2-15,2,4,32,2комн.,64.5,9027900
2-161,2,21,32,1комн.,38.8,6022700
2-172,2,23,32,2комн.,58.34,9467800
2-17,2,4,32,1комн.,38.8,5920400
2-173,2,23,32,2комн.,68.64,11271800
2-174,2,23,32,2комн.,60.66,9883300
2-176,2,23,32,2комн.,63.24,10303700
2-177,2,23,32,2комн.,64.5,10509000
2-178,2,23,32,3комн.,86.25,13645500
2-179,2,23,32,1комн.,38.8,6504400
2-180,2,23,32,1комн.,38.79,6502700
2-181,2,24,32,2комн.,58.34,9583400
2-182,2,24,32,2комн.,68.64,11407800
2-18,2,4,32,1комн.,38.79,5918800
2-183,2,24,32,2комн.,60.66,10003500
2-184,2,24,32,1комн.,38.59,6570400
2-185,2,24,32,2комн.,63.24,10429000
2-186,2,24,32,2комн.,64.5,10636800
2-187,2,24,32,3комн.,86.25,13816400
2-188,2,24,32,1комн.,38.8,6581200
2-189,2,24,32,1комн.,38.79,6579500
2-190,2,25,32,2комн.,58.34,9699000
2-191,2,25,32,2комн.,68.64,11543800
2-192,2,25,32,2комн.,60.66,10123700
2-193,2,25,32,1комн.,38.59,6646900
2-194,2,25,32,2комн.,63.24,10554300
2-195,2,25,32,2комн.,64.5,10764600
2-196,2,25,32,3комн.,86.25,13987300
2-197,2,25,32,1комн.,38.8,6658100
2-198,2,25,32,1комн.,38.79,6656400
2-199,2,26,32,2комн.,58.34,9852100
2-200,2,26,32,2комн.,68.64,11723900
2-201,2,26,32,2комн.,60.66,10282900
2-202,2,26,32,1комн.,38.59,6748200
2-20,2,5,32,2комн.,68.64,9700000
2-203,2,26,32,2комн.,63.24,10720200
2-204,2,26,32,2комн.,64.5,10933800
2-205,2,26,32,3комн.,86.25,14213600
2-206,2,26,32,1комн.,38.8,6759900
2-207,2,26,32,1комн.,38.79,6758200
2-208,2,27,32,2комн.,58.34,9967700
2-209,2,27,32,2комн.,68.64,11859900
2-210,2,27,32,2комн.,60.66,10403100
2-211,2,27,32,1комн.,38.59,6824600
2-212,2,27,32,2комн.,63.24,10845500
2-21,2,5,32,2комн.,60.66,8494300
2-213,2,27,32,2комн.,64.5,11061600
2-215,2,27,32,1комн.,38.8,6836800
2-216,2,27,32,1комн.,38.79,6835000
2-217,2,28,32,2комн.,58.34,10083200
2-218,2,28,32,2комн.,68.64,11995900
2-219,2,28,32,2комн.,60.66,10523200
2-220,2,28,32,1комн.,38.59,6901100
2-221,2,28,32,2комн.,63.24,10970800
2-222,2,28,32,2комн.,64.5,11189400
2-223,2,28,32,3комн.,86.25,14555400
2-2,2,3,32,2комн.,68.64,9691200
2-224,2,28,32,1комн.,38.8,6913700
2-225,2,28,32,1комн.,38.79,6911900
2-226,2,29,32,2комн.,58.34,10198800
2-227,2,29,32,2комн.,68.64,12131900
2-228,2,29,32,2комн.,60.66,10643400
2-229,2,29,32,1комн.,38.59,6977500
2-230,2,29,32,2комн.,63.24,11096100
2-231,2,29,32,2комн.,64.5,11317200
2-232,2,29,32,3комн.,86.25,14726200
2-233,2,29,32,1комн.,38.8,6990500
2-234,2,29,32,1комн.,38.79,6988700
2-235,2,30,32,2комн.,58.34,10314400
2-236,2,30,32,2комн.,68.64,12267900
2-237,2,30,32,2комн.,60.66,10763600
2-238,2,30,32,1комн.,38.59,7054000
2-239,2,30,32,2комн.,63.24,11221400
2-240,2,30,32,2комн.,64.5,11445000
2-241,2,30,32,3комн.,86.25,14897100
2-242,2,30,32,1комн.,38.8,7067400
2-243,2,30,32,1комн.,38.79,7065600
2-244,2,31,32,2комн.,58.34,10430000
2-245,2,31,32,2комн.,68.64,12403900
2-246,2,31,32,2комн.,60.66,10883800
2-247,2,31,32,1комн.,38.59,7130400
2-248,2,31,32,2комн.,63.24,11346700
2-249,2,31,32,2комн.,64.5,11572800
2-250,2,31,32,3комн.,86.25,15068000
2-251,2,31,32,1комн.,38.8,7144300
2-252,2,31,32,1комн.,38.79,7142400
2-253,2,32,32,2комн.,58.34,10661100
2-254,2,32,32,2комн.,68.64,12675800
2-255,2,32,32,2комн.,60.66,11124100
2-256,2,32,32,1комн.,38.59,7283300
2-257,2,32,32,2комн.,63.24,11597200
2-258,2,32,32,2комн.,64.5,11828300
2-259,2,32,32,3комн.,86.25,15409700
2-260,2,32,32,1комн.,38.8,7298000
2-261,2,32,32,1комн.,38.79,7296100
2-29,2,6,32,2комн.,68.64,9704400
2-5,2,3,32,2комн.,63.24,8847400
2-8,2,3,32,1комн.,38.8,5917900
2-92,2,13,32,2комн.,68.64,9739800
2-98,2,13,32,1комн.,38.8,5945300
2-99,2,13,32,1комн.,38.79,5943800
3-101,3,15,32,1комн.,40.73,6298700
3-102,3,15,32,2комн.,65.33,9278500
3-10,3,4,32,3комн.,90.49,12238400
3-105,3,16,32,2комн.,60.9,8653200
3-106,3,16,32,3комн.,90.49,12430400
3-108,3,16,32,1комн.,40.88,6324500
