rowid,building,floor,height,rooms,square,price
2-104,2,14,32,2комн.,63.24,8896200
2-11,2,4,32,2комн.,68.64,9695600
2-113,2,15,32,2комн.,63.24,8900300
2-116,2,15,32,1комн.,38.8,5668300
2-117,2,15,32,1комн.,38.79,5666800
2-122,2,16,32,2комн.,63.24,9026400
2-123,2,16,32,2комн.,64.5,9206300
2-124,2,16,32,3комн.,86.25,11903500
2-125,2,16,32,1комн.,38.8,5720700
2-126,2,16,32,1комн.,38.79,5719200
2-127,2,18,32,2комн.,58.34,8308300
2-128,2,18,32,2комн.,68.64,9907600
2-131,2,18,32,2комн.,63.24,9046800
2-132,2,18,32,2комн.,64.5,9227000
2-134,2,18,32,1комн.,38.8,5733200
2-135,2,18,32,1комн.,38.79,5731700
2-136,2,19,32,2комн.,58.34,8312000
2-137,2,19,32,2комн.,68.64,9912000
2-144,2,19,32,1комн.,38.79,5734200
2-149,2,20,32,2комн.,63.24,9054900
2-15,2,4,32,2комн.,64.5,9027900
2-152,2,20,32,1комн.,38.8,5738200
2-153,2,20,32,1комн.,38.79,5736700
2-156,2,21,32,2комн.,60.66,8689400
2-159,2,21,32,2комн.,64.5,9239400
2-161,2,21,32,1комн.,38.8,5740700
2-162,2,21,32,1комн.,38.79,5739200
2-17,2,4,32,1комн.,38.8,5638300
2-170,2,22,32,1комн.,38.8,5743200
2-171,2,22,32,1комн.,38.79,5741700
2-172,2,23,32,2комн.,58.34,9467800
2-173,2,23,32,2комн.,68.64,11271800
2-174,2,23,32,2комн.,60.66,9883300
2-175,2,23,32,1комн.,38.59,6494000
2-176,2,23,32,2комн.,63.24,10303700
2-177,2,23,32,2комн.,64.5,10509000
2-178,2,23,32,3комн.,86.25,13645500
2-179,2,23,32,1комн.,38.8,6504400
2-18,2,4,32,1комн.,38.79,5636900
2-180,2,23,32,1комн.,38.79,6502700
2-181,2,24,32,2комн.,58.34,9583400
2-182,2,24,32,2комн.,68.64,11407800
2-183,2,24,32,2комн.,60.66,10003500
2-184,2,24,32,1комн.,38.59,6570400
2-185,2,24,32,2комн.,63.24,10429000
2-186,2,24,32,2комн.,64.5,10636800
2-187,2,24,32,3комн.,86.25,13816400
2-188,2,24,32,1комн.,38.8,6581200
2-189,2,24,32,1комн.,38.79,6579500
2-190,2,25,32,2комн.,58.34,9699000
2-191,2,25,32,2комн.,68.64,11543800
2-192,2,25,32,2комн.,60.66,10123700
2-193,2,25,32,1комн.,38.59,6646900
2-194,2,25,32,2комн.,63.24,10554300
2-195,2,25,32,2комн.,64.5,10764600
2-196,2,25,32,3комн.,86.25,13987300
2-197,2,25,32,1комн.,38.8,6658100
2-198,2,25,32,1комн.,38.79,6656400
2-199,2,26,32,2комн.,58.34,9852100
2-2,2,3,32,2комн.,68.64,9691200
2-20,2,5,32,2комн.,68.64,9700000
2-200,2,26,32,2комн.,68.64,11723900
2-201,2,26,32,2комн.,60.66,10282900
2-202,2,26,32,1комн.,38.59,6748200
2-203,2,26,32,2комн.,63.24,10720200
2-204,2,26,32,2комн.,64.5,10933800
2-205,2,26,32,3комн.,86.25,14213600
2-206,2,26,32,1комн.,38.8,6759900
2-207,2,26,32,1комн.,38.79,6758200
2-208,2,27,32,2комн.,58.34,9967700
2-209,2,27,32,2комн.,68.64,11859900
2-21,2,5,32,2комн.,60.66,8494300
2-210,2,27,32,2комн.,60.66,10403100
2-211,2,27,32,1комн.,38.59,6824600
2-212,2,27,32,2комн.,63.24,10845500
2-213,2,27,32,2комн.,64.5,11061600
2-214,2,27,32,3комн.,86.25,14384500
2-215,2,27,32,1комн.,38.8,6836800
2-216,2,27,32,1комн.,38.79,6835000
2-217,2,28,32,2комн.,58.34,10083200
2-218,2,28,32,2комн.,68.64,11995900
2-219,2,28,32,2комн.,60.66,10523200
2-220,2,28,32,1комн.,38.59,6901100
2-221,2,28,32,2комн.,63.24,10970800
2-222,2,28,32,2комн.,64.5,11189400
2-223,2,28,32,3комн.,86.25,14555400
2-224,2,28,32,1комн.,38.8,6913700
2-225,2,28,32,1комн.,38.79,6911900
2-226,2,29,32,2комн.,58.34,10198800
2-227,2,29,32,2комн.,68.64,12131900
2-228,2,29,32,2комн.,60.66,10643400
2-229,2,29,32,1комн.,38.59,6977500
2-230,2,29,32,2комн.,63.24,11096100
2-231,2,29,32,2комн.,64.5,11317200
2-232,2,29,32,3комн.,86.25,14726200
2-233,2,29,32,1комн.,38.8,6990500
2-234,2,29,32,1комн.,38.79,6988700
2-235,2,30,32,2комн.,58.34,10314400
2-236,2,30,32,2комн.,68.64,12267900
2-237,2,30,32,2комн.,60.66,10763600
2-238,2,30,32,1комн.,38.59,7054000
2-239,2,30,32,2комн.,63.24,11221400
2-240,2,30,32,2комн.,64.5,11445000
2-241,2,30,32,3комн.,86.25,14897100
2-242,2,30,32,1комн.,38.8,7067400
2-243,2,30,32,1комн.,38.79,7065600
2-244,2,31,32,2комн.,58.34,10430000
2-245,2,31,32,2комн.,68.64,12403900
2-246,2,31,32,2комн.,60.66,10883800
2-247,2,31,32,1комн.,38.59,7130400
2-248,2,31,32,2комн.,63.24,11346700
2-249,2,31,32,2комн.,64.5,11572800
2-250,2,31,32,3комн.,86.25,15068000
2-251,2,31,32,1комн.,38.8,7144300
2-252,2,31,32,1комн.,38.79,7142400
2-253,2,32,32,2комн.,58.34,10661100
2-254,2,32,32,2комн.,68.64,12675800
2-255,2,32,32,2комн.,60.66,11124100
2-256,2,32,32,1комн.,38.59,7283300
2-257,2,32,32,2комн.,63.24,11597200
2-258,2,32,32,2комн.,64.5,11828300
2-259,2,32,32,3комн.,86.25,15409700
2-260,2,32,32,1комн.,38.8,7298000
2-261,2,32,32,1комн.,38.79,7296100
2-27,2,5,32,1комн.,38.79,5639400
2-29,2,6,32,2комн.,68.64,9704400
2-3,2,3,32,2комн.,60.66,8486500
2-38,2,7,32,2комн.,68.64,9708900
2-44,2,7,32,1комн.,38.8,5645800
2-48,2,8,32,2комн.,60.66,8506000
2-5,2,3,32,2комн.,63.24,8847400
2-73,2,11,32,2комн.,58.34,8195700
2-8,2,3,32,1комн.,38.8,5635900
2-82,2,12,32,2комн.,58.34,8199400
2-86,2,12,32,2комн.,63.24,8888100
2-9,2,3,32,1комн.,38.79,5634400
2-92,2,13,32,2комн.,68.64,9739800
2-95,2,13,32,2комн.,63.24,8892200
2-96,2,13,32,2комн.,64.5,9069300
2-98,2,13,32,1комн.,38.8,5663300
2-99,2,13,32,1комн.,38.79,5661800
