building,floor,height,rooms,rowid,square,price
1-10,1,4,32,2комн.,62.36,9169600
1-11,1,4,32,2комн.,62.65,9212200
1-116,1,23,32,1комн.,40.03,6777500
1-117,1,23,32,1комн.,39.69,6719900
1-118,1,23,32,2комн.,62.36,10224500
1-119,1,23,32,1комн.,40.04,6779200
1-12,1,4,32,3комн.,86.83,12357700
1-122,1,24,32,1комн.,40.03,6859400
1-123,1,24,32,1комн.,39.69,6801100
1-124,1,24,32,2комн.,62.36,10352100
1-125,1,24,32,1комн.,40.04,6861100
1-128,1,25,32,1комн.,40.03,6967000
1-129,1,25,32,1комн.,39.69,6907800
1-131,1,25,32,1комн.,40.04,6968800
1-132,1,25,32,4комн.,106.54,17058400
1-133,1,26,32,4комн.,101.67,16558600
1-134,1,26,32,1комн.,40.03,7077200
1-135,1,26,32,1комн.,39.69,7017100
1-136,1,26,32,2комн.,62.36,10691400
1-137,1,26,32,1комн.,40.04,7079000
1-138,1,26,32,4комн.,106.54,17351700
1-139,1,27,32,4комн.,101.67,16786100
1-140,1,27,32,1комн.,40.03,7166800
1-141,1,27,32,1комн.,39.69,7106000
1-14,1,5,32,2комн.,65.53,9635700
1-142,1,27,32,2комн.,62.36,10831000
1-143,1,27,32,1комн.,40.04,7168600
1-144,1,27,32,4комн.,106.54,17590200
1-145,1,28,32,4комн.,101.67,16987600
1-146,1,28,32,1комн.,40.03,7246100
1-147,1,28,32,1комн.,39.69,7184600
1-148,1,28,32,2комн.,62.36,10954500
1-149,1,28,32,1комн.,40.04,7247900
1-150,1,28,32,4комн.,106.54,17801300
1-151,1,29,32,4комн.,101.67,17189000
1-152,1,29,32,1комн.,40.03,7325400
1-153,1,29,32,1комн.,39.69,7263200
1-154,1,29,32,2комн.,62.36,11078100
1-155,1,29,32,1комн.,40.04,7327300
1-156,1,29,32,4комн.,106.54,18012300
1-157,1,30,32,4комн.,101.67,17390400
1-158,1,30,32,1комн.,40.03,7404700
1-159,1,30,32,1комн.,39.69,7341900
1-160,1,30,32,2комн.,62.36,11201600
1-161,1,30,32,1комн.,40.04,7406600
1-16,1,5,32,2комн.,62.36,9169600
1-162,1,30,32,4комн.,106.54,18223400
1-163,1,31,32,4комн.,101.67,17591800
1-164,1,31,32,1комн.,40.03,7484100
1-165,1,31,32,1комн.,39.69,7420500
1-166,1,31,32,2комн.,62.36,11325200
1-167,1,31,32,1комн.,40.04,7485900
1-168,1,31,32,4комн.,106.54,18434500
1-169,1,32,32,4комн.,101.67,17850800
1-170,1,32,32,1комн.,40.03,7586000
1-171,1,32,32,1комн.,39.69,7521600
1-17,1,5,32,2комн.,62.65,9212200
1-172,1,32,32,2комн.,62.36,11484000
1-173,1,32,32,1комн.,40.04,7587900
1-174,1,32,32,4комн.,106.54,18705900
1-18,1,5,32,3комн.,86.83,12357700
1-20,1,6,32,2комн.,65.53,9635700
1-2,1,3,32,2комн.,65.53,9631500
1-22,1,6,32,2комн.,62.36,9169600
1-23,1,6,32,2комн.,62.65,9212200
1-24,1,6,32,3комн.,86.83,12357700
1-26,1,7,32,2комн.,65.53,9644100
1-28,1,7,32,2комн.,62.36,9177600
1-29,1,7,32,2комн.,62.65,9220300
1-3,1,3,32,1комн.,39.69,6334400
1-32,1,8,32,2комн.,65.53,9652500
1-34,1,8,32,2комн.,62.36,9185600
1-38,1,9,32,2комн.,65.53,9654200
1-4,1,3,32,2комн.,62.36,9165500
1-44,1,10,32,2комн.,65.53,9749500
1-50,1,11,32,2комн.,65.53,9753700
1-5,1,3,32,2комн.,62.65,9208200
1-53,1,11,32,2комн.,62.65,9325000
1-56,1,12,32,2комн.,65.53,9757900
1-58,1,12,32,2комн.,62.36,9285900
1-59,1,12,32,2комн.,62.65,9329100
1-6,1,3,32,3комн.,86.83,12352100
1-62,1,13,32,2комн.,65.53,9762100
1-65,1,13,32,2комн.,62.65,9333100
1-66,1,13,32,3комн.,86.83,12581100
1-68,1,14,32,2комн.,65.53,9768900
1-70,1,14,32,2комн.,62.36,9296300
1-71,1,14,32,2комн.,62.65,9339500
1-74,1,15,32,2комн.,65.53,9774800
1-76,1,15,32,2комн.,62.36,9301900
1-80,1,16,32,2комн.,65.53,9779000
1-8,1,4,32,2комн.,65.53,9635700
1-82,1,16,32,2комн.,62.36,9305900
1-83,1,16,32,2комн.,62.65,9349200
1-86,1,17,32,2комн.,65.53,9837200
1-88,1,17,32,2комн.,62.36,9361300
1-9,1,4,32,1комн.,39.69,6337000
1-94,1,19,32,2комн.,62.36,9369300
2-11,2,4,32,2комн.,68.64,10181300
2-122,2,16,32,2комн.,63.24,9477900
