rowid,building,floor,height,rooms,square,price
1-10,1,4,32,2комн.,62.36,9248500
1-11,1,4,32,2комн.,62.65,9291500
1-118,1,23,32,2комн.,62.36,9719000
1-12,1,4,32,3комн.,86.83,12487900
1-122,1,24,32,1комн.,40.03,6796800
1-123,1,24,32,1комн.,39.69,6739100
1-124,1,24,32,2комн.,62.36,9840200
1-125,1,24,32,1комн.,40.04,6798500
1-128,1,25,32,1комн.,40.03,6899100
1-129,1,25,32,1комн.,39.69,6840500
1-131,1,25,32,1комн.,40.04,6900800
1-133,1,26,32,4комн.,101.67,15717500
1-134,1,26,32,1комн.,40.03,7003900
1-135,1,26,32,1комн.,39.69,6944400
1-136,1,26,32,2комн.,62.36,10162800
1-137,1,26,32,1комн.,40.04,7005600
1-139,1,27,32,4комн.,101.67,15933800
1-14,1,5,32,2комн.,65.53,9718600
1-140,1,27,32,1комн.,40.03,7089100
1-141,1,27,32,1комн.,39.69,7028800
1-142,1,27,32,2комн.,62.36,10295500
1-143,1,27,32,1комн.,40.04,7090800
1-145,1,28,32,4комн.,101.67,16125300
1-146,1,28,32,1комн.,40.03,7164400
1-147,1,28,32,1комн.,39.69,7103600
1-148,1,28,32,2комн.,62.36,10412900
1-149,1,28,32,1комн.,40.04,7166200
1-151,1,29,32,4комн.,101.67,16316700
1-152,1,29,32,1комн.,40.03,7239800
1-153,1,29,32,1комн.,39.69,7178300
1-154,1,29,32,2комн.,62.36,10530300
1-155,1,29,32,1комн.,40.04,7241600
1-156,1,29,32,4комн.,106.54,17098300
1-157,1,30,32,4комн.,101.67,16508200
1-158,1,30,32,1комн.,40.03,7315200
1-159,1,30,32,1комн.,39.69,7253100
1-16,1,5,32,2комн.,62.36,9248500
1-160,1,30,32,2комн.,62.36,10647800
1-161,1,30,32,1комн.,40.04,7317000
1-162,1,30,32,4комн.,106.54,17298900
1-163,1,31,32,4комн.,101.67,16699700
1-164,1,31,32,1комн.,40.03,7390600
1-165,1,31,32,1комн.,39.69,7327800
1-166,1,31,32,2комн.,62.36,10765200
1-167,1,31,32,1комн.,40.04,7392400
1-168,1,31,32,4комн.,106.54,17499600
1-169,1,32,32,4комн.,101.67,16945800
1-17,1,5,32,2комн.,62.65,9291500
1-170,1,32,32,1комн.,40.03,7487500
1-171,1,32,32,1комн.,39.69,7423900
1-172,1,32,32,2комн.,62.36,10916200
1-173,1,32,32,1комн.,40.04,7489400
1-174,1,32,32,4комн.,106.54,17757500
1-2,1,3,32,2комн.,65.53,9714600
1-20,1,6,32,2комн.,65.53,9718600
1-22,1,6,32,2комн.,62.36,9248500
1-23,1,6,32,2комн.,62.65,9291500
1-26,1,7,32,2комн.,65.53,9718600
1-28,1,7,32,2комн.,62.36,9248500
1-29,1,7,32,2комн.,62.65,9291500
1-3,1,3,32,1комн.,39.69,6360000
1-32,1,8,32,2комн.,65.53,9738600
1-34,1,8,32,2комн.,62.36,9267500
1-38,1,9,32,2комн.,65.53,9740200
1-4,1,3,32,2комн.,62.36,9244600
1-44,1,10,32,2комн.,65.53,9834800
1-5,1,3,32,2комн.,62.65,9287600
1-50,1,11,32,2комн.,65.53,9838800
1-53,1,11,32,2комн.,62.65,9406400
1-56,1,12,32,2комн.,65.53,9842800
1-58,1,12,32,2комн.,62.36,9366700
1-6,1,3,32,3комн.,86.83,12482500
1-62,1,13,32,2комн.,65.53,9847600
1-65,1,13,32,2комн.,62.65,9414800
1-66,1,13,32,3комн.,86.83,12711900
1-70,1,14,32,2комн.,62.36,9377300
1-71,1,14,32,2комн.,62.65,9420900
1-74,1,15,32,2комн.,65.53,9860400
1-8,1,4,32,2комн.,65.53,9718600
1-80,1,16,32,2комн.,65.53,9864400
1-83,1,16,32,2комн.,62.65,9430900
1-86,1,17,32,2комн.,65.53,9922100
1-88,1,17,32,2комн.,62.36,9442100
1-94,1,19,32,2комн.,62.36,9460400
