rowid,building,floor,height,rooms,square,price
5-1,5,3,23,2комн.,62.48,9486200
5-10,5,4,23,2комн.,62.48,9491000
5-103,5,15,23,2комн.,65.07,10082900
5-11,5,4,23,2комн.,69.44,10860900
5-111,5,16,23,2комн.,65.07,10087900
5-119,5,17,23,2комн.,65.07,10152300
5-120,5,17,23,1комн.,45.12,7609100
5-127,5,18,23,2комн.,65.07,10156500
5-128,5,18,23,1комн.,45.12,7612000
5-13,5,4,23,1комн.,40.46,6656700
5-135,5,19,23,2комн.,65.07,10160700
5-136,5,19,23,1комн.,45.12,7614900
5-143,5,20,23,2комн.,65.07,10169900
5-144,5,20,23,1комн.,45.12,7621300
5-15,5,4,23,1комн.,41.65,6852500
5-151,5,21,23,2комн.,65.07,10174100
5-152,5,21,23,1комн.,45.12,7624200
5-159,5,22,23,2комн.,65.07,10178300
5-160,5,22,23,1комн.,45.12,7627100
5-167,5,23,23,2комн.,65.07,10790200
5-168,5,23,23,1комн.,45.12,7723500
5-17,5,4,23,2комн.,65.97,10021200
5-19,5,5,23,2комн.,62.48,9495000
5-2,5,3,23,2комн.,69.44,10855600
5-20,5,5,23,2комн.,69.44,10865400
5-26,5,5,23,2комн.,65.97,10025400
5-28,5,6,23,2комн.,62.48,9499100
5-29,5,6,23,2комн.,69.44,10869900
5-35,5,6,23,2комн.,65.97,10029700
5-38,5,7,23,2комн.,69.44,10874400
5-4,5,3,23,1комн.,40.46,6653600
5-44,5,7,23,2комн.,65.97,10033900
5-46,5,8,23,2комн.,62.48,9507100
5-6,5,3,23,1комн.,41.65,6849300
5-7,5,3,23,2комн.,60.22,9104300
5-71,5,11,23,2комн.,65.07,10066100
5-79,5,12,23,2комн.,65.07,10070300
5-8,5,3,23,2комн.,65.97,10016100
5-80,5,12,23,1комн.,45.12,7552200
5-87,5,13,23,2комн.,65.07,10074500
5-88,5,13,23,1комн.,45.12,7555100
5-9,5,3,23,1комн.,37.43,6179400
5-95,5,14,23,2комн.,65.07,10078700
5-96,5,14,23,1комн.,45.12,7558000
