rowid,building,floor,height,rooms,square,price
1-10,1,4,32,2комн.,62.36,8813300
1-11,1,4,32,2комн.,62.65,8854300
1-118,1,23,32,2комн.,62.36,9261600
1-12,1,4,32,3комн.,86.83,12291800
1-124,1,24,32,2комн.,62.36,9377200
1-125,1,24,32,1комн.,40.04,6478600
1-128,1,25,32,1комн.,40.03,6574500
1-129,1,25,32,1комн.,39.69,6518600
1-131,1,25,32,1комн.,40.04,6576100
1-134,1,26,32,1комн.,40.03,6674300
1-135,1,26,32,1комн.,39.69,6617600
1-136,1,26,32,2комн.,62.36,9684600
1-137,1,26,32,1комн.,40.04,6676000
1-14,1,5,32,2комн.,65.53,9261300
1-145,1,28,32,4комн.,101.67,14121300
1-151,1,29,32,4комн.,101.67,15846300
1-152,1,29,32,1комн.,40.03,6899100
1-153,1,29,32,1комн.,39.69,6840500
1-154,1,29,32,2комн.,62.36,10034800
1-155,1,29,32,1комн.,40.04,6900900
1-157,1,30,32,4комн.,101.67,16028800
1-158,1,30,32,1комн.,40.03,6971000
1-159,1,30,32,1комн.,39.69,6911800
1-16,1,5,32,2комн.,62.36,8813300
1-160,1,30,32,2комн.,62.36,10146700
1-161,1,30,32,1комн.,40.04,6972700
1-162,1,30,32,4комн.,106.54,16796500
1-163,1,31,32,4комн.,101.67,16211200
1-164,1,31,32,1комн.,40.03,7042800
1-165,1,31,32,1комн.,39.69,6983000
1-166,1,31,32,2комн.,62.36,10258700
1-167,1,31,32,1комн.,40.04,7044600
1-168,1,31,32,4комн.,106.54,16987700
1-169,1,32,32,4комн.,101.67,16445800
1-17,1,5,32,2комн.,62.65,8854300
1-170,1,32,32,1комн.,40.03,7135200
1-171,1,32,32,1комн.,39.69,7074600
1-172,1,32,32,2комн.,62.36,10402500
1-173,1,32,32,1комн.,40.04,7137000
1-174,1,32,32,4комн.,106.54,17233600
1-2,1,3,32,2комн.,65.53,9257500
1-20,1,6,32,2комн.,65.53,9261300
1-22,1,6,32,2комн.,62.36,8813300
1-23,1,6,32,2комн.,62.65,8854300
1-26,1,7,32,2комн.,65.53,9261300
1-28,1,7,32,2комн.,62.36,8813300
1-29,1,7,32,2комн.,62.65,8854300
1-32,1,8,32,2комн.,65.53,9280400
1-34,1,8,32,2комн.,62.36,8831400
1-4,1,3,32,2комн.,62.36,8809600
1-44,1,10,32,2комн.,65.53,9372000
1-5,1,3,32,2комн.,62.65,8850600
1-50,1,11,32,2комн.,65.53,9375800
1-53,1,11,32,2комн.,62.65,8963800
1-56,1,12,32,2комн.,65.53,9379600
1-6,1,3,32,3комн.,86.83,12286800
1-62,1,13,32,2комн.,65.53,9384200
1-65,1,13,32,2комн.,62.65,8971800
1-70,1,14,32,2комн.,62.36,8936100
1-74,1,15,32,2комн.,65.53,9396400
1-76,1,15,32,2комн.,62.36,8941900
1-8,1,4,32,2комн.,65.53,9261300
1-80,1,16,32,2комн.,65.53,9400300
1-82,1,16,32,2комн.,62.36,8945500
1-86,1,17,32,2комн.,65.53,9455200
1-94,1,19,32,2комн.,62.36,9015300
2-135,2,18,32,1комн.,38.79,6030000
2-179,2,23,32,1комн.,38.8,6147300
2-180,2,23,32,1комн.,38.79,6145700
2-182,2,24,32,2комн.,68.64,10333500
2-183,2,24,32,2комн.,60.66,9061500
2-188,2,24,32,1комн.,38.8,6216900
2-189,2,24,32,1комн.,38.79,6215300
2-190,2,25,32,2комн.,58.34,8785600
2-191,2,25,32,2комн.,68.64,10456700
2-194,2,25,32,2комн.,63.24,9560300
2-195,2,25,32,2комн.,64.5,9750800
2-196,2,25,32,3комн.,86.25,13264000
2-197,2,25,32,1комн.,38.8,6286600
2-198,2,25,32,1комн.,38.79,6284900
2-199,2,26,32,2комн.,58.34,8924300
2-2,2,3,32,2комн.,68.64,9789600
2-200,2,26,32,2комн.,68.64,10619900
2-201,2,26,32,2комн.,60.66,9314500
2-203,2,26,32,2комн.,63.24,9710700
2-204,2,26,32,2комн.,64.5,9904200
2-205,2,26,32,3комн.,86.25,13469100
2-207,2,26,32,1комн.,38.79,6377100
2-215,2,27,32,1комн.,38.8,6018900
2-216,2,27,32,1комн.,38.79,6017300
2-225,2,28,32,1комн.,38.79,6010100
2-226,2,29,32,2комн.,58.34,9238400
2-227,2,29,32,2комн.,68.64,10989400
2-228,2,29,32,2комн.,60.66,9641100
2-229,2,29,32,1комн.,38.59,6574500
2-230,2,29,32,2комн.,63.24,10051200
2-231,2,29,32,2комн.,64.5,10251400
2-232,2,29,32,3комн.,86.25,13933400
2-233,2,29,32,1комн.,38.8,6587700
2-234,2,29,32,1комн.,38.79,6586000
2-235,2,30,32,2комн.,58.34,9343100
2-236,2,30,32,2комн.,68.64,11112600
2-237,2,30,32,2комн.,60.66,9750000
2-238,2,30,32,1комн.,38.59,6643800
2-239,2,30,32,2комн.,63.24,10164600
2-240,2,30,32,2комн.,64.5,10367200
2-241,2,30,32,3комн.,86.25,14088200
2-242,2,30,32,1комн.,38.8,6657300
2-243,2,30,32,1комн.,38.79,6655600
2-244,2,31,32,2комн.,58.34,9447800
2-245,2,31,32,2комн.,68.64,11235800
2-246,2,31,32,2комн.,60.66,9858800
2-247,2,31,32,1комн.,38.59,6713000
2-248,2,31,32,2комн.,63.24,10278100
2-249,2,31,32,2комн.,64.5,10482900
2-250,2,31,32,3комн.,86.25,14243000
2-251,2,31,32,1комн.,38.8,6726900
2-252,2,31,32,1комн.,38.79,6725200
2-253,2,32,32,2комн.,58.34,9657200
2-254,2,32,32,2комн.,68.64,11482100
2-255,2,32,32,2комн.,60.66,10076500
2-257,2,32,32,2комн.,63.24,10505100
2-258,2,32,32,2комн.,64.5,10714400
2-259,2,32,32,3комн.,86.25,14552600
2-26,2,5,32,1комн.,38.8,5934300
2-260,2,32,32,1комн.,38.8,6866200
2-261,2,32,32,1комн.,38.79,6864400
2-39,2,7,32,2комн.,60.66,8592100
2-8,2,3,32,1комн.,38.8,5932100
3-1,3,3,32,2комн.,60.9,8609100
3-101,3,15,32,1комн.,40.73,6333000
3-109,3,16,32,1комн.,40.73,6341100
3-124,3,19,32,1комн.,40.73,6386200
3-133,3,20,32,2комн.,63.93,9256400
3-138,3,21,32,1комн.,40.73,6391400
3-140,3,21,32,2комн.,63.93,9260900
3-145,3,22,32,1комн.,40.73,6394200
3-148,3,23,32,2комн.,60.9,8949000
3-15,3,4,32,3комн.,88.11,12695800
3-151,3,23,32,1комн.,40.88,6476400
3-154,3,23,32,2комн.,63.93,9394200
3-155,3,24,32,2комн.,60.9,9062500
3-157,3,24,32,1комн.,41.96,6725700
3-158,3,24,32,1комн.,40.88,6552600
3-159,3,24,32,1комн.,40.73,6528500
3-160,3,24,32,2комн.,69.36,10321500
3-161,3,24,32,2комн.,63.93,9513400
3-162,3,25,32,2комн.,60.9,9176100
3-163,3,25,32,3комн.,90.49,13876000
3-164,3,25,32,1комн.,41.96,6803900
3-165,3,25,32,1комн.,40.88,6628800
3-166,3,25,32,1комн.,40.73,6604500
3-168,3,25,32,2комн.,63.93,9632600
3-169,3,26,32,2комн.,60.9,9289600
3-17,3,5,32,2комн.,60.9,8616200
3-170,3,26,32,3комн.,90.49,14097500
3-171,3,26,32,1комн.,41.96,6906600
3-172,3,26,32,1комн.,40.88,6728900
3-173,3,26,32,1комн.,40.73,6704200
3-174,3,26,32,2комн.,69.36,10620500
3-175,3,26,32,2комн.,63.93,9751800
3-178,3,27,32,1комн.,41.96,6530600
3-179,3,27,32,1комн.,40.88,6362500
3-182,3,27,32,2комн.,63.93,9178900
3-189,3,28,32,2комн.,63.93,9168500
3-190,3,29,32,2комн.,60.9,9630300
3-191,3,29,32,3комн.,90.49,14603600
3-192,3,29,32,1комн.,41.96,7141300
3-193,3,29,32,1комн.,40.88,6957500
3-194,3,29,32,1комн.,40.73,6932000
3-195,3,29,32,2комн.,69.36,11008500
3-197,3,30,32,2комн.,60.9,9743800
3-198,3,30,32,3комн.,90.49,14772300
3-199,3,30,32,1комн.,41.96,7219600
3-2,3,3,32,3комн.,90.49,13033500
3-200,3,30,32,1комн.,40.88,7033700
3-201,3,30,32,1комн.,40.73,7007900
3-202,3,30,32,2комн.,69.36,11137800
3-203,3,30,32,2комн.,63.93,10228600
3-204,3,31,32,2комн.,60.9,9857400
3-205,3,31,32,3комн.,90.49,14941100
3-206,3,31,32,1комн.,41.96,7297800
3-207,3,31,32,1комн.,40.88,7110000
3-208,3,31,32,1комн.,40.73,7083900
3-209,3,31,32,2комн.,69.36,11267100
3-21,3,5,32,1комн.,40.73,6253700
3-210,3,31,32,2комн.,63.93,10347800
3-211,3,32,32,2комн.,60.9,10027700
3-212,3,32,32,3комн.,90.49,15194100
3-213,3,32,32,1комн.,41.96,7415100
3-214,3,32,32,1комн.,40.88,7224300
3-215,3,32,32,1комн.,40.73,7197800
3-216,3,32,32,2комн.,69.36,11461100
3-217,3,32,32,2комн.,63.93,10526600
3-25,3,6,32,2комн.,60.9,8619700
3-29,3,6,32,1комн.,40.73,6256100
3-3,3,3,32,1комн.,41.96,6437700
3-31,3,6,32,3комн.,88.11,12706100
3-33,3,7,32,2комн.,60.9,8624000
3-41,3,8,32,2комн.,60.9,8627500
3-49,3,9,32,2комн.,60.9,8627500
3-57,3,10,32,2комн.,60.9,8708400
3-7,3,3,32,3комн.,88.11,12690700
3-73,3,12,32,2комн.,60.9,8719800
3-8,3,3,32,2комн.,58.58,8281100
3-81,3,13,32,2комн.,60.9,8724000
3-85,3,13,32,1комн.,40.73,6325900
3-88,3,13,32,2комн.,58.58,8391700
3-9,3,4,32,2комн.,60.9,8612600
4-1,4,3,23,2комн.,61.03,8639500
4-10,4,4,23,3комн.,88.21,12689700
4-112,4,16,23,2комн.,58.66,8485800
4-113,4,17,23,2комн.,64.08,9320700
4-114,4,17,23,1комн.,45.75,7177500
4-119,4,17,23,2комн.,58.66,8532300
4-120,4,18,23,2комн.,64.08,9325200
4-123,4,18,23,1комн.,40.66,6381800
4-126,4,18,23,2комн.,58.66,8536400
4-127,4,19,23,2комн.,64.08,9329700
4-141,4,21,23,2комн.,64.08,9337100
4-148,4,22,23,2комн.,64.08,9340900
4-156,4,23,23,1комн.,45.75,7461700
4-157,4,23,23,1комн.,40.81,6656000
4-158,4,23,23,1комн.,40.66,6631500
4-159,4,23,23,2комн.,65.34,9909800
4-160,4,23,23,3комн.,87.99,13541900
4-161,4,23,23,2комн.,58.66,8896700
4-17,4,5,23,2комн.,61.03,8647300
4-2,4,3,23,3комн.,88.21,12684500
4-25,4,6,23,2комн.,61.03,8650900
